category	ID	term	count	gene	logFC	adj_pval	magma_score
HPO	HP_FRONTAL_CORTICAL_ATROPHY	HP_FRONTAL_CORTICAL_ATROPHY	56	ENSRNOG00000005985/ENSRNOG00000008533/ENSRNOG00000010572/ENSRNOG00000012146/ENSRNOG00000013933/ENSRNOG00000049221/ENSRNOG00000014576/ENSRNOG00000001408/ENSRNOG00000012568/ENSRNOG00000011073/ENSRNOG00000006957/ENSRNOG00000002914/ENSRNOG00000024955/ENSRNOG00000033134/ENSRNOG00000052840/ENSRNOG00000008996/ENSRNOG00000011904	1.699.782.178	0.048465219	0.00098772
GOCC	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE	51	ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000026466/ENSRNOG00000033099/ENSRNOG00000029012/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000029798/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085	2.388.214.499	4,62E+08	0.0011049
GOMF	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	11	ENSRNOG00000019834/ENSRNOG00000049491/ENSRNOG00000066773/ENSRNOG00000018735/ENSRNOG00000005290/ENSRNOG00000059714/ENSRNOG00000017123	-1.843.017.777	0.046629463	0.0012551
GOBP	GOBP_LYMPHOCYTE_ACTIVATION	GOBP_LYMPHOCYTE_ACTIVATION	480	ENSRNOG00000003992/ENSRNOG00000053813/ENSRNOG00000014917/ENSRNOG00000014297/ENSRNOG00000013634/ENSRNOG00000015076/ENSRNOG00000020161/ENSRNOG00000059984/ENSRNOG00000009963/ENSRNOG00000016995/ENSRNOG00000011096/ENSRNOG00000047035/ENSRNOG00000012061/ENSRNOG00000020893/ENSRNOG00000009848/ENSRNOG00000019353/ENSRNOG00000047356/ENSRNOG00000004517/ENSRNOG00000057058/ENSRNOG00000006048/ENSRNOG00000038597/ENSRNOG00000070206/ENSRNOG00000049517/ENSRNOG00000049236/ENSRNOG00000058422/ENSRNOG00000061246/ENSRNOG00000010121/ENSRNOG00000001184/ENSRNOG00000016346/ENSRNOG00000007439/ENSRNOG00000006167/ENSRNOG00000032574/ENSRNOG00000056371/ENSRNOG00000012160/ENSRNOG00000009131/ENSRNOG00000001766/ENSRNOG00000009681/ENSRNOG00000047692/ENSRNOG00000069521/ENSRNOG00000005355/ENSRNOG00000002115/ENSRNOG00000008736/ENSRNOG00000017418/ENSRNOG00000016967/ENSRNOG00000014647/ENSRNOG00000006604/ENSRNOG00000054901/ENSRNOG00000007539/ENSRNOG00000001302/ENSRNOG00000026085/ENSRNOG00000014678/ENSRNOG00000021144/ENSRNOG00000018835/ENSRNOG00000017469/ENSRNOG00000018359/ENSRNOG00000015796/ENSRNOG00000016957/ENSRNOG00000024277/ENSRNOG00000021856/ENSRNOG00000049491/ENSRNOG00000014395/ENSRNOG00000028211/ENSRNOG00000066773/ENSRNOG00000008133/ENSRNOG00000023109/ENSRNOG00000033235/ENSRNOG00000015773/ENSRNOG00000009910/ENSRNOG00000002750/ENSRNOG00000016885/ENSRNOG00000007350/ENSRNOG00000057347/ENSRNOG00000023591/ENSRNOG00000016575/ENSRNOG00000007261/ENSRNOG00000059043/ENSRNOG00000031163/ENSRNOG00000017869/ENSRNOG00000059900/ENSRNOG00000013340/ENSRNOG00000065741/ENSRNOG00000038212/ENSRNOG00000020652/ENSRNOG00000065643/ENSRNOG00000000853/ENSRNOG00000013304/ENSRNOG00000017783/ENSRNOG00000020679/ENSRNOG00000006989/ENSRNOG00000008580/ENSRNOG00000031058/ENSRNOG00000001704/ENSRNOG00000009535/ENSRNOG00000000655/ENSRNOG00000002365/ENSRNOG00000001452/ENSRNOG00000050430/ENSRNOG00000048321/ENSRNOG00000014011/ENSRNOG00000043077/ENSRNOG00000003069/ENSRNOG00000009354/ENSRNOG00000015124/ENSRNOG00000013554/ENSRNOG00000021528/ENSRNOG00000065264/ENSRNOG00000017803/ENSRNOG00000018255/ENSRNOG00000020716/ENSRNOG00000008372/ENSRNOG00000013805/ENSRNOG00000010319/ENSRNOG00000009884/ENSRNOG00000026267/ENSRNOG00000052407/ENSRNOG00000042389/ENSRNOG00000015894/ENSRNOG00000018735/ENSRNOG00000006932/ENSRNOG00000007237/ENSRNOG00000012865/ENSRNOG00000009468/ENSRNOG00000019374/ENSRNOG00000013089/ENSRNOG00000012409/ENSRNOG00000020369/ENSRNOG00000012881/ENSRNOG00000017319/ENSRNOG00000021100/ENSRNOG00000010475/ENSRNOG00000013967/ENSRNOG00000031443/ENSRNOG00000003522/ENSRNOG00000014624/ENSRNOG00000016360/ENSRNOG00000048161/ENSRNOG00000002950/ENSRNOG00000058478/ENSRNOG00000009982/ENSRNOG00000008180/ENSRNOG00000000805/ENSRNOG00000024931/ENSRNOG00000009912/ENSRNOG00000012681/ENSRNOG00000009385/ENSRNOG00000004575/ENSRNOG00000018991/ENSRNOG00000021420/ENSRNOG00000000485/ENSRNOG00000014294/ENSRNOG00000016595/ENSRNOG00000004444/ENSRNOG00000010266/ENSRNOG00000017863/ENSRNOG00000036829/ENSRNOG00000011054/ENSRNOG00000036798/ENSRNOG00000017194/ENSRNOG00000014333/ENSRNOG00000030118/ENSRNOG00000013963/ENSRNOG00000004006/ENSRNOG00000017560/ENSRNOG00000017980/ENSRNOG00000020845/ENSRNOG00000006392/ENSRNOG00000007663/ENSRNOG00000046452/ENSRNOG00000018566/ENSRNOG00000004737/ENSRNOG00000005067/ENSRNOG00000013265/ENSRNOG00000053200/ENSRNOG00000000569/ENSRNOG00000001296/ENSRNOG00000030124/ENSRNOG00000010522/ENSRNOG00000037227/ENSRNOG00000014605/ENSRNOG00000014171/ENSRNOG00000051482/ENSRNOG00000006689/ENSRNOG00000021316/ENSRNOG00000008816/ENSRNOG00000024159/ENSRNOG00000050519/ENSRNOG00000004003/ENSRNOG00000007865/ENSRNOG00000017123/ENSRNOG00000058646/ENSRNOG00000067317/ENSRNOG00000010966/ENSRNOG00000019629/ENSRNOG00000056836/ENSRNOG00000020640/ENSRNOG00000060694/ENSRNOG00000019057/ENSRNOG00000009694	-0.300737871	3,07E+08	0.0013414
GOCC	GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	142	ENSRNOG00000018674/ENSRNOG00000014686/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000013101/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000014862/ENSRNOG00000026466/ENSRNOG00000002349/ENSRNOG00000026432/ENSRNOG00000002336/ENSRNOG00000008223/ENSRNOG00000007038/ENSRNOG00000033099/ENSRNOG00000010744/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000067416/ENSRNOG00000029798/ENSRNOG00000032576/ENSRNOG00000006093/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000004890/ENSRNOG00000055401/ENSRNOG00000013042/ENSRNOG00000031232/ENSRNOG00000062002/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085/ENSRNOG00000008970/ENSRNOG00000009522/ENSRNOG00000010320/ENSRNOG00000013213/ENSRNOG00000061304/ENSRNOG00000013171/ENSRNOG00000013389/ENSRNOG00000030910/ENSRNOG00000007645/ENSRNOG00000008479/ENSRNOG00000012424/ENSRNOG00000016412/ENSRNOG00000003241/ENSRNOG00000070777	1.954.369.044	2,76E+09	0.0014105
GOBP	GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	35	ENSRNOG00000006114/ENSRNOG00000019474/ENSRNOG00000010556/ENSRNOG00000005233/ENSRNOG00000007127/ENSRNOG00000058275/ENSRNOG00000025787/ENSRNOG00000057867/ENSRNOG00000056996/ENSRNOG00000011440/ENSRNOG00000010141/ENSRNOG00000059715	0.512276891	0.00052231	0.0015598
GOCC	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	109	ENSRNOG00000018674/ENSRNOG00000014686/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000013101/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000026466/ENSRNOG00000002349/ENSRNOG00000002336/ENSRNOG00000033099/ENSRNOG00000010744/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000067416/ENSRNOG00000029798/ENSRNOG00000032576/ENSRNOG00000006093/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000055401/ENSRNOG00000031232/ENSRNOG00000062002/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085/ENSRNOG00000008970/ENSRNOG00000009522/ENSRNOG00000010320/ENSRNOG00000013213/ENSRNOG00000013171/ENSRNOG00000013389/ENSRNOG00000030910/ENSRNOG00000008479/ENSRNOG00000016412/ENSRNOG00000003241	2.056.489.143	1,60E+09	0.0016519
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	16	ENSRNOG00000049491/ENSRNOG00000066773/ENSRNOG00000006963/ENSRNOG00000018735/ENSRNOG00000021157/ENSRNOG00000046452/ENSRNOG00000018566/ENSRNOG00000007649/ENSRNOG00000007089/ENSRNOG00000024159/ENSRNOG00000019387/ENSRNOG00000017123	-0.720535264	6,58E+09	0.0017479
KEGG	KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	108	ENSRNOG00000057817/ENSRNOG00000020246/ENSRNOG00000069406/ENSRNOG00000058202/ENSRNOG00000037247/ENSRNOG00000057880/ENSRNOG00000016592/ENSRNOG00000009149/ENSRNOG00000046276/ENSRNOG00000025757/ENSRNOG00000016940/ENSRNOG00000042848/ENSRNOG00000016611/ENSRNOG00000014060/ENSRNOG00000003948/ENSRNOG00000011077/ENSRNOG00000000373/ENSRNOG00000001515/ENSRNOG00000004414/ENSRNOG00000023079/ENSRNOG00000038881/ENSRNOG00000015182/ENSRNOG00000005480/ENSRNOG00000010085/ENSRNOG00000012346/ENSRNOG00000015278/ENSRNOG00000010263/ENSRNOG00000037227/ENSRNOG00000016733/ENSRNOG00000050519/ENSRNOG00000005796/ENSRNOG00000068010/ENSRNOG00000015030/ENSRNOG00000019057/ENSRNOG00000020014	-1.690.316.632	0.015668055	0.0019765
GOBP	GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	286	ENSRNOG00000017469/ENSRNOG00000018359/ENSRNOG00000015796/ENSRNOG00000024277/ENSRNOG00000014395/ENSRNOG00000008133/ENSRNOG00000033235/ENSRNOG00000002750/ENSRNOG00000016885/ENSRNOG00000057347/ENSRNOG00000023591/ENSRNOG00000007261/ENSRNOG00000031163/ENSRNOG00000017869/ENSRNOG00000065741/ENSRNOG00000065643/ENSRNOG00000017783/ENSRNOG00000016313/ENSRNOG00000001704/ENSRNOG00000000655/ENSRNOG00000002365/ENSRNOG00000001452/ENSRNOG00000050430/ENSRNOG00000048321/ENSRNOG00000014011/ENSRNOG00000013578/ENSRNOG00000043077/ENSRNOG00000009354/ENSRNOG00000021528/ENSRNOG00000065264/ENSRNOG00000018255/ENSRNOG00000020716/ENSRNOG00000009884/ENSRNOG00000052407/ENSRNOG00000018735/ENSRNOG00000006932/ENSRNOG00000007237/ENSRNOG00000019264/ENSRNOG00000008465/ENSRNOG00000012881/ENSRNOG00000017319/ENSRNOG00000013967/ENSRNOG00000003522/ENSRNOG00000016360/ENSRNOG00000048161/ENSRNOG00000002950/ENSRNOG00000009982/ENSRNOG00000008180/ENSRNOG00000018414/ENSRNOG00000012681/ENSRNOG00000004575/ENSRNOG00000000485/ENSRNOG00000014294/ENSRNOG00000016595/ENSRNOG00000004444/ENSRNOG00000017863/ENSRNOG00000036829/ENSRNOG00000014333/ENSRNOG00000004006/ENSRNOG00000017560/ENSRNOG00000006392/ENSRNOG00000007663/ENSRNOG00000046452/ENSRNOG00000018566/ENSRNOG00000005067/ENSRNOG00000043098/ENSRNOG00000023708/ENSRNOG00000013265/ENSRNOG00000053200/ENSRNOG00000000569/ENSRNOG00000014605/ENSRNOG00000017414/ENSRNOG00000051482/ENSRNOG00000006569/ENSRNOG00000006689/ENSRNOG00000021316/ENSRNOG00000024159/ENSRNOG00000050519/ENSRNOG00000004003/ENSRNOG00000017123/ENSRNOG00000058646/ENSRNOG00000067317/ENSRNOG00000010966/ENSRNOG00000020640/ENSRNOG00000060694/ENSRNOG00000009694	-0.303750194	0.000688973	0.0028265
