setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_WHEEZING	50	0.661311598618119	2.53467538324441	5.71357429004677e-10	1.81120304994483e-07	1.66541122368253e-07	1981	tags=50%, list=11%, signal=45%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_PRODUCTIVE_COUGH	56	0.640805200264162	2.51736162542838	7.19677391154774e-10	2.09126255246391e-07	1.92292748548898e-07	2792	tags=54%, list=15%, signal=46%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000002275/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451/ENSRNOG00000009972/ENSRNOG00000000417/ENSRNOG00000034240/ENSRNOG00000026964
HP_ABNORMALITY_OF_THE_PULMONARY_VEINS	61	0.614797937547062	2.45056385459132	1.22458254362123e-09	3.05008523543373e-07	2.80457024651899e-07	1981	tags=49%, list=11%, signal=44%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000028274/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000006027/ENSRNOG00000018762/ENSRNOG00000014925/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000061346/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000013353/ENSRNOG00000005451
HP_APLASIA_HYPOPLASIA_OF_THE_SPLEEN	76	0.584388715080643	2.44251194116059	1.19235668721014e-09	3.05008523543373e-07	2.80457024651899e-07	3381	tags=57%, list=18%, signal=46%	ENSRNOG00000016187/ENSRNOG00000011829/ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000057867/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000001213/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000021718/ENSRNOG00000059715/ENSRNOG00000056458/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000052704/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000012866/ENSRNOG00000005451/ENSRNOG00000028523/ENSRNOG00000017981/ENSRNOG00000052444/ENSRNOG00000026964/ENSRNOG00000024085/ENSRNOG00000002462/ENSRNOG00000005883/ENSRNOG00000004574/ENSRNOG00000004677
HP_ATELECTASIS	62	0.608555525837401	2.42948841006578	1.44887731538829e-09	3.36815679917265e-07	3.09703880889315e-07	3370	tags=50%, list=18%, signal=41%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000000648/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451/ENSRNOG00000026964/ENSRNOG00000003875/ENSRNOG00000016948/ENSRNOG00000005883/ENSRNOG00000004574
HP_ROD_CONE_DYSTROPHY	197	0.439634358586497	2.12673270224244	1.93057391717705e-09	4.20744453074774e-07	3.86876852086928e-07	4315	tags=43%, list=23%, signal=33%	ENSRNOG00000042477/ENSRNOG00000016187/ENSRNOG00000011440/ENSRNOG00000024468/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000001622/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000015101/ENSRNOG00000058275/ENSRNOG00000012396/ENSRNOG00000048363/ENSRNOG00000025286/ENSRNOG00000032946/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000047019/ENSRNOG00000004171/ENSRNOG00000004181/ENSRNOG00000025141/ENSRNOG00000013734/ENSRNOG00000029456/ENSRNOG00000010453/ENSRNOG00000019305/ENSRNOG00000019103/ENSRNOG00000017473/ENSRNOG00000002932/ENSRNOG00000026171/ENSRNOG00000004342/ENSRNOG00000056458/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000015816/ENSRNOG00000009881/ENSRNOG00000008807/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000000606/ENSRNOG00000007127/ENSRNOG00000057862/ENSRNOG00000025629/ENSRNOG00000024523/ENSRNOG00000025991/ENSRNOG00000030212/ENSRNOG00000049696/ENSRNOG00000038868/ENSRNOG00000013641/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451/ENSRNOG00000004542/ENSRNOG00000009582/ENSRNOG00000011144/ENSRNOG00000016545/ENSRNOG00000001700/ENSRNOG00000026964/ENSRNOG00000001256/ENSRNOG00000053599/ENSRNOG00000001689/ENSRNOG00000015189/ENSRNOG00000024012/ENSRNOG00000049633/ENSRNOG00000005883/ENSRNOG00000004574/ENSRNOG00000051498/ENSRNOG00000012322/ENSRNOG00000010078/ENSRNOG00000008075/ENSRNOG00000019659/ENSRNOG00000029707/ENSRNOG00000002615/ENSRNOG00000003738/ENSRNOG00000019474/ENSRNOG00000009045/ENSRNOG00000031033/ENSRNOG00000013252/ENSRNOG00000009799/ENSRNOG00000016306/ENSRNOG00000015756/ENSRNOG00000030644
HP_ABNORMAL_RESPIRATORY_MOTILE_CILIUM_PHYSIOLOGY	31	0.728016550955541	2.54295171714724	3.23434406485697e-09	6.63421044362132e-07	6.10019320220082e-07	1981	tags=61%, list=11%, signal=55%	ENSRNOG00000011440/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000048363/ENSRNOG00000008595/ENSRNOG00000013734/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_RECURRENT_MYCOBACTERIAL_INFECTIONS	48	0.642463653826579	2.46517385830876	4.68442415244148e-09	9.07477056642413e-07	8.34430173586944e-07	1981	tags=52%, list=11%, signal=47%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_CHRONIC_SINUSITIS	50	0.641219259067943	2.45766545546447	5.57217067595966e-09	1.02263995510902e-06	9.40323095787985e-07	1981	tags=50%, list=11%, signal=45%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_ABNORMAL_VENA_CAVA_MORPHOLOGY	58	0.603006513853256	2.3741947798845	6.77991810729638e-09	1.18207872200712e-06	1.08692792393815e-06	1981	tags=47%, list=11%, signal=42%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000050200/ENSRNOG00000013353/ENSRNOG00000005451
