ENSRNOG00000000001	121
ENSRNOG00000000007	7914
ENSRNOG00000000008	2
ENSRNOG00000000009	6
ENSRNOG00000000010	344
ENSRNOG00000000012	37
ENSRNOG00000000017	3
ENSRNOG00000000021	0
ENSRNOG00000000024	1099
ENSRNOG00000000033	8757
ENSRNOG00000000034	88
ENSRNOG00000000035	0
ENSRNOG00000000036	767
ENSRNOG00000000040	190
ENSRNOG00000000041	87
ENSRNOG00000000042	1933
ENSRNOG00000000043	809
ENSRNOG00000000044	1941
ENSRNOG00000000047	536
ENSRNOG00000000048	17021
ENSRNOG00000000053	1
ENSRNOG00000000054	5745
ENSRNOG00000000055	0
ENSRNOG00000000062	2434
ENSRNOG00000000064	1501
ENSRNOG00000000065	2
ENSRNOG00000000066	1133
ENSRNOG00000000068	2023
ENSRNOG00000000070	2127
ENSRNOG00000000073	1946
ENSRNOG00000000075	1312
ENSRNOG00000000081	190
ENSRNOG00000000082	1655
ENSRNOG00000000091	491
ENSRNOG00000000095	2515
ENSRNOG00000000096	5
ENSRNOG00000000097	0
ENSRNOG00000000098	3734
ENSRNOG00000000104	809
ENSRNOG00000000105	24891
ENSRNOG00000000108	595
ENSRNOG00000000109	22
ENSRNOG00000000111	411
ENSRNOG00000000112	1505
ENSRNOG00000000113	675
ENSRNOG00000000121	292
ENSRNOG00000000122	281
ENSRNOG00000000123	1827
ENSRNOG00000000124	0
ENSRNOG00000000127	1896
ENSRNOG00000000129	13716
ENSRNOG00000000130	5345
ENSRNOG00000000133	2629
ENSRNOG00000000137	92
ENSRNOG00000000138	74
ENSRNOG00000000142	2137
ENSRNOG00000000145	1871
ENSRNOG00000000150	894
ENSRNOG00000000151	250
ENSRNOG00000000155	1225
ENSRNOG00000000156	83
ENSRNOG00000000157	3738
ENSRNOG00000000158	2526
ENSRNOG00000000161	2299
ENSRNOG00000000164	6160
ENSRNOG00000000165	18
ENSRNOG00000000166	205
ENSRNOG00000000167	78
ENSRNOG00000000168	6131
ENSRNOG00000000169	188
ENSRNOG00000000170	4701
ENSRNOG00000000172	176
ENSRNOG00000000175	445
ENSRNOG00000000177	27
ENSRNOG00000000184	0
ENSRNOG00000000185	289
ENSRNOG00000000186	1354
ENSRNOG00000000187	47
ENSRNOG00000000190	0
ENSRNOG00000000195	553
ENSRNOG00000000196	61
ENSRNOG00000000199	0
ENSRNOG00000000201	0
ENSRNOG00000000204	4919
ENSRNOG00000000219	1349
ENSRNOG00000000221	856
ENSRNOG00000000230	737
ENSRNOG00000000231	2831
ENSRNOG00000000233	114
ENSRNOG00000000236	2251
ENSRNOG00000000237	1727
ENSRNOG00000000239	3
ENSRNOG00000000244	767
ENSRNOG00000000245	145
ENSRNOG00000000246	3880
ENSRNOG00000000247	1054
ENSRNOG00000000248	3737
ENSRNOG00000000249	177
ENSRNOG00000000250	439
ENSRNOG00000000251	0
ENSRNOG00000000257	3259
ENSRNOG00000000258	1692
ENSRNOG00000000262	1600
ENSRNOG00000000264	1085
ENSRNOG00000000274	4759
ENSRNOG00000000275	3021
ENSRNOG00000000277	325
ENSRNOG00000000279	564
ENSRNOG00000000281	1215
ENSRNOG00000000282	0
ENSRNOG00000000283	599
ENSRNOG00000000288	122
ENSRNOG00000000299	1871
ENSRNOG00000000302	1746
ENSRNOG00000000303	383
ENSRNOG00000000304	3797
ENSRNOG00000000306	193
ENSRNOG00000000307	232
ENSRNOG00000000308	434
ENSRNOG00000000312	2527
ENSRNOG00000000314	5454
ENSRNOG00000000316	5888
ENSRNOG00000000320	0
ENSRNOG00000000321	4103
ENSRNOG00000000322	788
ENSRNOG00000000323	31
ENSRNOG00000000327	4275
ENSRNOG00000000335	0
ENSRNOG00000000340	2152
ENSRNOG00000000341	81
ENSRNOG00000000368	6266
ENSRNOG00000000373	408
ENSRNOG00000000376	0
ENSRNOG00000000383	56
ENSRNOG00000000384	0
ENSRNOG00000000386	33
ENSRNOG00000000387	1657
ENSRNOG00000000392	1172
ENSRNOG00000000394	356
ENSRNOG00000000395	4985
ENSRNOG00000000396	2225
ENSRNOG00000000397	3435
ENSRNOG00000000398	727
ENSRNOG00000000401	0
ENSRNOG00000000405	0
ENSRNOG00000000406	42
ENSRNOG00000000407	134
ENSRNOG00000000408	3688
ENSRNOG00000000410	2
ENSRNOG00000000411	4136
ENSRNOG00000000412	4436
ENSRNOG00000000414	561
ENSRNOG00000000415	900
ENSRNOG00000000417	3432
ENSRNOG00000000420	947
ENSRNOG00000000421	1305
ENSRNOG00000000422	185
ENSRNOG00000000428	0
ENSRNOG00000000431	1743
ENSRNOG00000000432	402
ENSRNOG00000000433	4037
ENSRNOG00000000435	636
ENSRNOG00000000436	51
ENSRNOG00000000437	5392
ENSRNOG00000000438	1625
ENSRNOG00000000439	48
ENSRNOG00000000440	2273
ENSRNOG00000000441	54
ENSRNOG00000000442	286
ENSRNOG00000000446	0
ENSRNOG00000000451	3
ENSRNOG00000000454	2
ENSRNOG00000000455	174
ENSRNOG00000000456	139
ENSRNOG00000000457	65
ENSRNOG00000000459	52
ENSRNOG00000000461	6121
ENSRNOG00000000463	2461
ENSRNOG00000000464	1542
ENSRNOG00000000465	0
ENSRNOG00000000466	455
ENSRNOG00000000467	749
ENSRNOG00000000470	2817
ENSRNOG00000000471	2181
ENSRNOG00000000473	1807
ENSRNOG00000000474	601
ENSRNOG00000000476	0
ENSRNOG00000000477	908
ENSRNOG00000000478	0
ENSRNOG00000000479	30
ENSRNOG00000000480	708
ENSRNOG00000000481	656
ENSRNOG00000000483	24531
ENSRNOG00000000485	242
ENSRNOG00000000486	84
ENSRNOG00000000487	583
ENSRNOG00000000488	2159
ENSRNOG00000000490	1253
ENSRNOG00000000491	19
ENSRNOG00000000493	521
ENSRNOG00000000495	866
ENSRNOG00000000498	1119
ENSRNOG00000000499	0
ENSRNOG00000000500	7
ENSRNOG00000000501	2413
ENSRNOG00000000502	18
ENSRNOG00000000503	1106
ENSRNOG00000000504	322
ENSRNOG00000000505	751
ENSRNOG00000000506	68
ENSRNOG00000000507	5
ENSRNOG00000000508	1
ENSRNOG00000000510	0
ENSRNOG00000000511	3743
ENSRNOG00000000512	911
ENSRNOG00000000513	3209
ENSRNOG00000000515	0
ENSRNOG00000000516	0
ENSRNOG00000000517	1730
ENSRNOG00000000519	1400
ENSRNOG00000000520	4042
ENSRNOG00000000521	165
ENSRNOG00000000522	5963
ENSRNOG00000000523	499
ENSRNOG00000000524	2171
ENSRNOG00000000525	203
ENSRNOG00000000527	12620
ENSRNOG00000000528	106
ENSRNOG00000000529	57
ENSRNOG00000000532	3575
ENSRNOG00000000536	240
ENSRNOG00000000540	2374
ENSRNOG00000000541	4092
ENSRNOG00000000542	61
ENSRNOG00000000543	15
ENSRNOG00000000546	485
ENSRNOG00000000547	18627
ENSRNOG00000000549	12
ENSRNOG00000000551	1033
ENSRNOG00000000552	31
ENSRNOG00000000556	1
ENSRNOG00000000557	5314
ENSRNOG00000000559	13
ENSRNOG00000000560	316
ENSRNOG00000000561	313
ENSRNOG00000000562	2
ENSRNOG00000000563	19
ENSRNOG00000000564	12
ENSRNOG00000000565	2368
ENSRNOG00000000566	8
ENSRNOG00000000567	1066
ENSRNOG00000000568	349
ENSRNOG00000000569	946
ENSRNOG00000000571	43476
ENSRNOG00000000572	85
ENSRNOG00000000574	0
ENSRNOG00000000576	298
ENSRNOG00000000579	6408
ENSRNOG00000000580	0
ENSRNOG00000000581	1637
ENSRNOG00000000582	624
ENSRNOG00000000583	5174
ENSRNOG00000000585	3864
ENSRNOG00000000586	857
ENSRNOG00000000587	1024
ENSRNOG00000000588	12
ENSRNOG00000000589	96
ENSRNOG00000000590	3
ENSRNOG00000000593	4630
ENSRNOG00000000595	73
ENSRNOG00000000596	6063
ENSRNOG00000000597	6
ENSRNOG00000000598	227
ENSRNOG00000000599	869
ENSRNOG00000000604	3062
ENSRNOG00000000605	530
ENSRNOG00000000606	2825
ENSRNOG00000000607	0
ENSRNOG00000000609	1313
ENSRNOG00000000610	1938
ENSRNOG00000000611	894
ENSRNOG00000000613	906
ENSRNOG00000000614	384
ENSRNOG00000000618	4715
ENSRNOG00000000630	0
ENSRNOG00000000632	8
ENSRNOG00000000633	326
ENSRNOG00000000634	633
ENSRNOG00000000635	2558
ENSRNOG00000000636	0
ENSRNOG00000000638	27456
ENSRNOG00000000640	1354
ENSRNOG00000000641	533
